,age,body_type,diet,drinks,drugs,height,sex,smokes
2873,29,average,vegetarian,1,0,60.0,f,no
2874,38,larger,anything,1,0,66.0,f,no
2875,28,fit,anything,1,0,62.0,f,no
2876,23,average,anything,1,0,72.0,m,no
2877,30,unknown,vegetarian,1,0,64.0,f,no
2878,22,fit,other,1,0,73.0,m,no
2879,35,fit,anything,1,0,61.0,f,no
2880,27,fit,anything,1,0,70.0,m,no
2881,24,average,anything,1,0,65.0,f,no
2882,26,unknown,anything,1,0,61.0,f,no
2883,29,average,anything,1,0,60.0,f,no
2884,25,average,vegetarian,1,0,65.0,f,no
2885,25,average,anything,1,0,74.0,m,no
2886,27,fit,anything,0,0,68.0,m,no
2887,64,fit,anything,1,1,70.0,m,no
2888,53,average,anything,2,0,68.0,m,no
2889,27,fit,halal,0,0,71.0,m,no
2890,25,average,anything,1,1,73.0,m,no
2891,25,fit,vegetarian,1,1,66.0,f,no
2892,23,average,anything,2,1,63.0,f,no
2893,37,fit,anything,1,0,76.0,m,no
2894,40,larger,anything,1,0,68.0,f,no
2895,25,average,anything,2,0,74.0,m,no
2896,29,fit,anything,1,0,70.0,m,yes
2897,30,fit,anything,1,0,69.0,m,no
2898,36,fit,anything,1,0,68.0,m,no
2899,31,fit,other,1,0,61.0,f,no
2900,30,larger,anything,1,0,62.0,f,no
2901,42,average,anything,1,0,66.0,f,yes
2902,25,average,vegetarian,1,0,68.0,f,no
2903,29,larger,anything,1,0,67.0,f,yes
2904,26,fit,anything,1,0,62.0,f,no
2905,66,average,anything,1,1,62.0,f,no
2906,29,fit,vegetarian,1,1,67.0,f,no
2907,30,fit,anything,1,0,70.0,f,yes
2908,27,unknown,vegetarian,1,0,67.0,f,no
2909,28,average,anything,1,0,63.0,f,no
2910,24,unknown,anything,2,0,63.0,f,no
2911,23,fit,anything,1,0,65.0,f,no
2912,30,average,anything,1,0,64.0,f,no
2913,33,fit,anything,1,0,70.0,f,no
2914,20,larger,vegetarian,1,0,63.0,f,no
2915,22,larger,anything,1,0,69.0,f,no
2916,24,larger,anything,1,1,63.0,f,no
2917,31,fit,anything,1,0,66.0,f,no
2918,36,larger,anything,1,1,70.0,f,no
2919,24,fit,anything,1,0,63.0,f,no
2920,19,fit,anything,0,0,65.0,f,no
2921,24,average,anything,1,0,63.0,f,yes
2922,29,average,anything,1,0,65.0,f,no
2923,24,unknown,anything,2,0,63.0,f,no
2924,34,average,vegetarian,1,0,66.0,f,yes
2925,26,unknown,anything,1,0,66.0,f,no
2926,27,fit,anything,1,0,65.0,f,yes
2927,43,fit,anything,1,0,65.0,f,no
2928,23,average,halal,1,1,63.0,f,yes
2929,32,average,anything,1,0,73.0,m,no
2930,34,average,anything,1,0,70.0,m,no
2931,37,fit,anything,1,0,75.0,m,no
2932,31,average,anything,1,0,68.0,m,no
2933,41,fit,anything,1,0,67.0,f,no
2934,34,fit,anything,1,0,73.0,m,no
2935,22,unknown,anything,1,0,68.0,f,no
2936,32,fit,anything,1,0,73.0,m,no
2937,23,unknown,anything,1,1,64.0,f,no
2938,22,fit,other,1,0,68.0,f,no
2939,23,fit,anything,1,0,71.0,m,no
2940,44,average,anything,0,0,66.0,f,yes
2941,43,larger,anything,1,0,64.0,f,no
2942,40,average,anything,1,0,62.0,f,yes
2943,41,fit,anything,1,0,72.0,m,no
2944,30,fit,vegetarian,1,0,64.0,f,no
2945,47,fit,anything,0,0,73.0,m,no
2946,18,average,anything,1,0,69.0,m,no
2947,43,unknown,anything,1,0,67.0,m,no
2948,23,fit,anything,1,0,68.0,m,no
2949,25,fit,anything,2,0,67.0,m,no
2950,27,fit,anything,2,0,72.0,m,no
2951,25,unknown,anything,1,1,64.0,m,yes
2952,28,average,anything,1,0,74.0,m,no
2953,46,average,anything,1,1,71.0,f,no
2954,26,average,anything,1,0,71.0,f,no
2955,41,larger,anything,2,1,63.0,f,yes
2956,36,average,anything,1,0,73.0,f,no
2957,31,fit,anything,1,0,70.0,m,no
2958,42,larger,anything,1,0,65.0,f,no
2959,28,unknown,anything,1,0,65.0,f,no
2960,27,average,vegetarian,1,0,66.0,f,no
2961,25,larger,vegetarian,1,0,58.0,f,yes
2962,23,average,anything,2,2,76.0,m,yes
2963,31,average,anything,0,0,70.0,f,no
2964,25,average,anything,1,1,64.0,f,no
2965,23,larger,anything,2,1,68.0,f,yes
2966,35,fit,anything,1,0,70.0,f,yes
2967,34,average,other,1,1,64.0,f,no
2968,31,larger,anything,1,1,63.0,f,no
2969,31,larger,anything,1,0,66.0,f,no
2970,26,larger,anything,1,1,65.0,f,no
2971,27,fit,anything,1,0,67.0,f,no
2972,31,average,anything,1,1,66.0,f,no
2973,26,average,vegetarian,1,1,67.0,f,no
2974,25,unknown,anything,1,1,64.0,f,yes
2975,26,larger,anything,1,0,60.0,f,yes
2976,30,average,anything,1,1,70.0,m,no
2977,27,fit,vegetarian,1,0,65.0,f,no
2978,21,larger,anything,1,0,60.0,f,no
2979,28,average,anything,1,0,64.0,m,no
2980,28,average,anything,1,0,63.0,f,no
2981,33,larger,anything,1,1,63.0,f,yes
2982,29,fit,anything,1,0,66.0,m,no
2983,33,average,other,1,1,63.0,f,no
2984,25,average,anything,1,0,66.0,f,no
2985,32,unknown,anything,1,1,69.0,f,no
2986,28,average,anything,2,0,66.0,f,yes
2987,26,average,anything,1,0,72.0,f,no
2988,34,average,vegan,0,0,66.0,m,no
2989,34,fit,anything,1,0,72.0,m,no
2990,56,average,anything,1,0,71.0,m,no
2991,36,fit,anything,1,0,68.0,m,no
2992,29,unknown,anything,1,0,65.0,f,no
2993,38,fit,anything,1,0,70.0,m,no
2994,27,fit,anything,1,0,75.0,m,no
2995,53,fit,vegetarian,1,0,74.0,m,no
2996,30,average,anything,1,1,66.0,f,no
2997,32,fit,anything,1,0,70.0,f,no
2998,24,average,vegetarian,1,0,66.0,f,no
2999,28,fit,anything,1,0,72.0,m,no
3000,25,fit,vegetarian,1,0,69.0,f,no
3001,25,average,anything,1,0,68.0,f,no
3002,34,fit,anything,2,0,66.0,f,no
3003,20,larger,anything,1,0,65.0,f,no
3004,21,average,anything,2,1,61.0,f,yes
3005,23,unknown,vegetarian,1,0,64.0,f,no
3006,24,fit,anything,1,0,66.0,f,no
3007,26,fit,anything,1,0,65.0,f,no
3008,24,average,anything,2,0,70.0,f,no
3009,32,fit,anything,1,0,67.0,f,no
3010,30,average,anything,1,0,67.0,f,no
3011,25,unknown,anything,1,0,70.0,f,yes
3012,21,average,anything,0,0,68.0,m,no
3013,35,larger,anything,1,0,66.0,f,no
3014,34,average,anything,1,1,65.0,f,yes
3015,20,fit,anything,1,0,69.0,m,no
3016,30,fit,anything,1,0,84.0,m,no
3017,42,larger,anything,1,0,67.0,m,no
3018,27,average,anything,1,0,67.0,m,yes
3019,34,fit,anything,1,0,75.0,m,no
3020,38,fit,anything,1,0,69.0,m,yes
3021,31,unknown,anything,1,0,66.0,f,no
3022,28,average,anything,1,0,71.0,m,no
3023,27,fit,anything,1,0,70.0,m,no
3024,33,fit,anything,1,0,65.0,f,no
3025,49,average,anything,1,0,64.0,f,no
3026,40,unknown,anything,1,1,69.0,f,yes
3027,32,fit,anything,1,0,72.0,m,no
3028,25,fit,anything,1,0,70.0,m,no
3029,32,unknown,anything,1,0,68.0,m,yes
3030,28,unknown,anything,1,0,63.0,f,no
3031,23,fit,anything,1,0,70.0,m,no
3032,21,average,anything,2,1,63.0,f,no
3033,34,fit,anything,1,0,66.0,f,no
3034,21,fit,anything,1,0,63.0,f,no
3035,41,fit,anything,1,1,65.0,f,no
3036,31,fit,anything,1,0,65.0,m,no
3037,24,larger,anything,2,0,65.0,f,no
3038,45,average,anything,1,0,66.0,f,no
3039,26,average,anything,1,0,63.0,f,no
3040,29,fit,anything,1,0,67.0,m,no
3041,39,fit,anything,1,0,62.0,f,no
3042,44,fit,vegetarian,1,0,68.0,m,no
3043,62,average,anything,1,0,73.0,m,no
3044,52,unknown,anything,1,0,61.0,f,no
3045,32,fit,anything,1,0,73.0,m,no
3046,21,average,anything,0,0,61.0,f,no
3047,34,fit,vegetarian,1,0,74.0,m,no
3048,31,fit,anything,1,0,65.0,m,no
3049,50,fit,vegetarian,1,0,74.0,m,no
3050,31,larger,anything,1,0,65.0,f,no
3051,22,fit,anything,1,0,65.0,m,no
3052,36,fit,halal,1,0,70.0,m,yes
3053,28,fit,anything,1,1,73.0,m,no
3054,24,fit,anything,1,0,74.0,m,no
3055,30,fit,anything,1,0,68.0,f,no
3056,33,fit,anything,1,0,71.0,m,no
3057,28,fit,anything,1,0,71.0,m,no
3058,65,average,anything,1,0,67.0,f,no
3059,25,fit,anything,1,0,73.0,m,no
3060,26,larger,anything,0,0,73.0,m,no
3061,26,fit,anything,1,0,72.0,m,no
3062,24,fit,anything,1,0,74.0,m,no
3063,27,fit,anything,1,0,70.0,m,no
3064,19,average,anything,1,0,74.0,m,no
3065,29,fit,anything,1,0,73.0,m,no
3066,29,fit,anything,1,0,71.0,m,no
3067,32,average,anything,1,0,67.0,m,no
3068,33,fit,anything,1,0,68.0,m,no
3069,31,average,anything,1,0,76.0,m,no
3070,29,fit,anything,1,0,66.0,m,no
3071,32,average,anything,1,0,68.0,f,no
3072,31,fit,anything,1,0,68.0,m,no
3073,25,fit,vegan,0,0,62.0,f,no
3074,32,fit,anything,1,0,72.0,m,no
3075,25,fit,anything,2,0,67.0,f,no
3076,22,unknown,anything,1,0,63.0,f,no
3077,44,average,anything,0,0,67.0,m,no
3078,22,average,vegan,1,1,74.0,m,no
3079,39,fit,anything,1,0,78.0,m,no
3080,20,larger,anything,1,1,67.0,m,no
3081,18,unknown,other,1,0,65.0,f,no
3082,65,larger,anything,1,0,67.0,m,no
3083,26,fit,anything,1,0,71.0,m,yes
3084,22,fit,anything,1,0,70.0,f,no
3085,30,average,anything,0,0,69.0,m,no
3086,30,average,anything,2,0,68.0,m,no
3087,24,average,anything,2,0,66.0,f,no
3088,59,fit,anything,1,1,71.0,m,no
3089,25,fit,anything,1,1,69.0,m,yes
3090,23,unknown,anything,1,0,62.0,m,yes
3091,27,average,anything,1,0,65.0,f,no
3092,31,unknown,anything,1,0,72.0,m,no
3093,28,unknown,anything,1,0,63.0,f,no
3094,35,larger,anything,1,0,64.0,f,no
3095,39,fit,anything,1,0,65.0,f,no
3096,40,fit,anything,0,0,70.0,m,no
3097,31,fit,anything,1,0,76.0,m,no
3098,30,average,anything,1,0,65.0,m,no
3099,57,average,anything,0,0,69.0,f,no
3100,21,average,anything,1,1,70.0,m,yes
3101,49,fit,anything,1,0,74.0,m,no
3102,40,fit,vegetarian,1,1,68.0,m,no
3103,22,average,anything,1,0,68.0,f,yes
3104,37,average,anything,1,0,77.0,m,no
3105,25,fit,halal,0,0,70.0,m,no
3106,30,fit,anything,2,0,70.0,m,no
3107,29,average,anything,1,0,62.0,f,no
3108,49,average,anything,1,0,70.0,m,no
3109,28,average,anything,1,0,66.0,f,no
3110,27,fit,vegetarian,1,0,67.0,f,no
3111,36,fit,anything,1,0,69.0,m,no
3112,40,fit,anything,0,0,69.0,m,no
3113,18,average,anything,1,1,62.0,f,yes
3114,34,average,anything,2,1,69.0,m,yes
3115,50,unknown,anything,1,0,65.0,f,no
3116,43,fit,anything,0,1,69.0,f,no
3117,20,larger,anything,0,0,66.0,m,no
3118,23,average,anything,1,0,61.0,f,no
3119,38,fit,anything,1,0,67.0,m,no
3120,26,fit,anything,1,1,73.0,m,no
3121,26,larger,anything,1,0,61.0,f,no
3122,32,average,anything,1,0,64.0,f,no
3123,24,average,anything,0,0,70.0,m,no
3124,26,average,anything,1,0,66.0,f,no
3125,32,fit,anything,1,0,65.0,f,no
3126,38,fit,anything,1,0,68.0,m,no
3127,28,average,anything,1,0,76.0,m,no
3128,22,average,anything,1,1,60.0,f,no
3129,20,larger,anything,0,0,67.0,f,no
3130,23,fit,anything,1,0,65.0,f,yes
3131,41,fit,anything,1,0,68.0,m,no
3132,31,average,anything,1,0,70.0,m,no
3133,48,larger,anything,1,0,65.0,f,no
3134,24,fit,anything,1,0,70.0,f,no
3135,40,average,anything,0,0,69.0,m,no
3136,24,unknown,anything,1,1,68.0,f,yes
3137,34,fit,vegetarian,1,0,64.0,f,no
3138,24,fit,vegetarian,2,0,65.0,f,yes
3139,34,fit,anything,1,0,63.0,f,no
3140,64,fit,anything,1,0,67.0,f,no
3141,43,average,anything,1,0,68.0,f,no
3142,36,average,anything,0,0,70.0,m,no
3143,25,fit,anything,1,0,75.0,m,no
3144,23,average,anything,1,0,61.0,f,no
3145,22,fit,anything,1,0,67.0,f,no
3146,38,average,anything,1,1,64.0,f,no
3147,29,average,anything,1,0,66.0,f,yes
3148,55,fit,anything,1,0,67.0,f,no
3149,33,fit,anything,1,0,66.0,f,no
3150,28,unknown,anything,1,0,64.0,f,no
3151,36,fit,anything,1,0,65.0,f,no
3152,33,larger,anything,1,1,64.0,f,no
3153,42,larger,anything,1,0,63.0,f,no
3154,39,larger,anything,1,0,64.0,f,no
3155,39,unknown,vegetarian,2,0,76.0,m,no
3156,25,fit,vegetarian,2,2,65.0,f,yes
3157,39,larger,vegetarian,1,0,67.0,f,no
3158,34,average,anything,2,1,64.0,f,no
3159,27,fit,anything,1,0,66.0,f,no
3160,23,average,anything,2,1,68.0,f,no
3161,26,average,anything,2,0,70.0,f,no
3162,30,unknown,anything,1,0,65.0,f,no
3163,26,larger,anything,1,0,62.0,f,no
3164,27,larger,vegetarian,1,0,61.0,f,no
3165,37,fit,anything,1,0,66.0,f,no
3166,31,unknown,anything,1,1,65.0,f,no
3167,32,average,anything,2,0,64.0,f,no
3168,32,average,anything,1,0,68.0,m,no
3169,35,larger,anything,1,0,68.0,m,yes
3170,37,fit,anything,0,0,68.0,m,no
3171,33,fit,anything,1,0,65.0,f,no
3172,29,average,anything,1,0,65.0,f,yes
3173,42,average,anything,1,1,66.0,m,no
3174,39,fit,anything,1,0,68.0,f,no
3175,35,average,anything,1,0,62.0,f,no
3176,27,average,vegetarian,1,1,63.0,f,yes
3177,31,fit,anything,2,0,63.0,f,no
3178,50,larger,vegetarian,1,0,66.0,f,no
3179,31,unknown,anything,1,0,63.0,f,yes
3180,23,average,anything,2,0,65.0,f,no
3181,22,larger,anything,1,0,67.0,f,no
3182,27,unknown,anything,1,0,63.0,f,no
3183,26,average,vegetarian,1,0,62.0,f,no
3184,31,average,anything,1,0,62.0,f,no
3185,44,unknown,anything,1,0,64.0,f,no
3186,25,larger,anything,0,0,63.0,f,no
3187,23,fit,vegetarian,1,1,72.0,m,no
3188,25,unknown,other,2,1,74.0,m,no
3189,38,average,anything,1,0,72.0,m,no
3190,34,unknown,anything,1,0,63.0,f,no
3191,40,fit,anything,1,0,69.0,m,no
3192,35,larger,anything,1,0,67.0,f,no
3193,41,larger,vegetarian,1,0,66.0,f,no
3194,38,larger,anything,0,0,65.0,f,no
3195,24,larger,anything,1,0,61.0,f,no
3196,22,fit,other,1,0,72.0,m,no
3197,30,fit,anything,1,0,63.0,f,no
3198,18,average,anything,0,0,63.0,f,no
3199,32,larger,anything,2,0,64.0,f,no
3200,30,average,anything,1,1,69.0,m,no
3201,28,fit,anything,1,1,66.0,m,no
3202,29,fit,vegetarian,1,1,68.0,m,no
3203,38,fit,anything,1,0,72.0,m,no
3204,39,fit,anything,1,0,66.0,f,no
3205,41,fit,vegetarian,1,0,71.0,m,no
3206,30,larger,vegetarian,1,0,68.0,f,no
3207,49,fit,other,1,0,67.0,f,no
3208,42,fit,anything,1,0,68.0,f,no
3209,27,average,anything,1,0,65.0,f,no
3210,39,average,vegetarian,1,0,67.0,m,no
3211,30,fit,anything,1,1,69.0,m,no
3212,59,fit,anything,0,0,67.0,f,no
3213,57,fit,vegetarian,1,0,66.0,f,no
3214,28,larger,anything,0,0,67.0,f,no
3215,35,average,vegetarian,1,0,70.0,m,no
3216,42,unknown,anything,1,0,74.0,m,no
3217,25,average,anything,1,0,64.0,f,no
3218,25,average,anything,1,0,62.0,f,no
3219,30,average,anything,1,0,68.0,f,yes
3220,22,average,anything,1,0,64.0,f,no
3221,25,fit,other,1,0,67.0,m,no
3222,24,larger,anything,1,1,74.0,m,yes
3223,42,unknown,anything,1,0,63.0,f,no
3224,26,fit,anything,1,0,64.0,f,no
3225,46,average,anything,1,0,66.0,f,no
3226,26,fit,anything,1,0,59.0,f,no
3227,43,average,anything,1,0,67.0,f,no
3228,23,fit,anything,1,1,65.0,f,yes
3229,35,unknown,anything,1,0,66.0,f,no
3230,35,average,anything,1,0,72.0,m,no
3231,34,fit,anything,1,0,70.0,m,no
3232,61,average,anything,1,0,68.0,f,no
3233,30,average,anything,1,0,68.0,f,no
3234,32,fit,anything,1,0,69.0,m,no
3235,28,unknown,anything,1,0,67.0,f,no
3236,23,average,anything,1,0,66.0,m,no
3237,28,larger,anything,1,0,66.0,f,no
3238,54,unknown,anything,1,1,70.0,m,no
3239,34,average,anything,1,0,67.0,m,no
3240,27,fit,anything,1,0,69.0,m,no
3241,27,average,anything,1,0,67.0,m,yes
3242,42,unknown,anything,2,1,76.0,m,no
3243,21,fit,anything,1,0,69.0,m,no
3244,25,fit,anything,1,0,69.0,m,no
3245,25,fit,anything,1,0,72.0,m,no
3246,27,fit,vegetarian,1,0,67.0,f,no
3247,39,average,anything,1,0,69.0,m,no
3248,27,fit,anything,1,1,72.0,m,no
3249,26,average,anything,0,0,64.0,f,no
3250,33,fit,anything,1,0,70.0,m,no
3251,25,fit,anything,2,0,67.0,m,no
3252,22,fit,anything,1,1,67.0,m,yes
3253,48,fit,vegetarian,1,0,67.0,f,no
3254,35,fit,anything,1,0,64.0,f,no
3255,29,average,anything,2,1,68.0,m,yes
3256,28,fit,anything,2,1,70.0,m,yes
3257,26,fit,anything,1,0,74.0,m,no
3258,26,average,anything,1,0,70.0,m,no
3259,26,fit,anything,1,0,73.0,m,no
3260,23,fit,anything,1,0,72.0,m,yes
3261,38,average,anything,0,0,65.0,m,no
3262,25,average,anything,1,0,67.0,m,no
3263,34,average,anything,1,0,66.0,f,no
3264,24,larger,anything,1,1,64.0,f,no
3265,28,fit,vegetarian,1,0,69.0,f,no
3266,21,average,anything,1,0,69.0,m,no
3267,23,unknown,anything,1,0,62.0,f,no
3268,27,average,anything,1,1,67.0,f,no
3269,56,fit,vegetarian,1,0,68.0,m,no
3270,19,larger,vegetarian,1,0,63.0,f,no
3271,24,fit,anything,1,0,64.0,f,yes
3272,27,fit,anything,1,0,62.0,f,no
3273,32,unknown,anything,1,0,76.0,m,yes
3274,26,fit,anything,1,0,73.0,m,no
3275,28,fit,vegetarian,2,1,70.0,m,no
3276,56,average,anything,1,0,64.0,f,no
3277,35,fit,anything,1,0,64.0,f,yes
3278,40,fit,anything,1,0,69.0,m,no
3279,33,average,anything,1,0,73.0,m,no
3280,23,fit,anything,1,1,71.0,m,no
3281,33,average,anything,1,0,76.0,m,no
3282,43,unknown,anything,1,0,68.0,m,no
3283,31,unknown,anything,1,0,67.0,m,no
3284,31,fit,anything,0,0,72.0,m,no
3285,31,fit,anything,1,1,68.0,m,no
3286,32,fit,other,1,0,62.0,f,no
3287,22,average,anything,1,0,68.0,f,no
3288,48,average,anything,1,0,66.0,f,no
3289,34,fit,vegetarian,1,0,66.0,f,no
3290,23,larger,anything,1,0,61.0,f,no
3291,28,average,anything,1,0,70.0,m,no
3292,26,larger,anything,1,0,64.0,f,no
3293,57,average,anything,1,0,65.0,f,no
3294,29,fit,anything,1,0,71.0,m,no
3295,59,fit,anything,1,0,63.0,f,no
3296,31,fit,anything,1,0,71.0,m,yes
3297,38,larger,anything,1,0,67.0,f,no
3298,34,larger,anything,1,0,69.0,f,no
3299,23,fit,anything,1,0,66.0,f,no
3300,26,average,anything,1,0,71.0,m,no
3301,18,average,anything,1,0,65.0,f,no
3302,59,larger,anything,1,0,67.0,f,no
3303,24,fit,anything,1,0,69.0,m,yes
3304,28,fit,other,1,0,71.0,m,no
3305,35,fit,anything,0,0,66.0,m,no
3306,31,fit,vegetarian,1,0,74.0,m,no
3307,35,average,anything,1,0,70.0,m,yes
3308,29,average,vegetarian,1,0,70.0,m,no
3309,32,fit,anything,1,0,74.0,m,no
3310,35,average,anything,0,0,67.0,m,no
3311,20,larger,other,1,1,67.0,m,yes
3312,22,average,anything,1,0,67.0,m,no
3313,36,larger,anything,1,0,74.0,m,no
3314,27,fit,anything,1,0,70.0,m,no
3315,18,fit,anything,1,0,72.0,m,no
3316,23,fit,anything,1,0,71.0,m,no
3317,29,fit,anything,1,0,70.0,m,no
3318,26,fit,anything,1,1,75.0,m,no
3319,27,fit,anything,1,0,72.0,m,yes
3320,36,fit,anything,2,0,77.0,m,no
3321,25,average,anything,1,0,69.0,m,yes
3322,29,fit,anything,1,0,67.0,m,no
3323,27,fit,vegetarian,1,0,70.0,m,yes
3324,33,fit,anything,1,1,72.0,m,no
3325,30,fit,anything,1,1,71.0,m,yes
3326,20,average,anything,1,0,73.0,m,no
3327,26,average,anything,2,0,67.0,m,no
3328,26,average,anything,1,0,68.0,m,yes
3329,29,fit,anything,2,1,70.0,m,no
3330,26,larger,anything,1,0,71.0,m,yes
3331,30,fit,anything,2,0,70.0,m,no
3332,25,fit,anything,1,0,73.0,m,no
3333,27,average,anything,2,1,70.0,m,no
3334,31,fit,vegetarian,1,0,69.0,m,no
3335,33,average,anything,2,0,66.0,m,no
3336,27,fit,vegetarian,1,1,73.0,m,no
3337,21,average,anything,1,1,71.0,m,no
3338,21,average,anything,1,0,72.0,m,no
3339,26,average,anything,1,0,67.0,m,no
3340,25,average,anything,1,0,74.0,m,yes
3341,26,fit,anything,1,0,67.0,m,no
3342,21,average,anything,1,0,69.0,m,no
3343,26,average,anything,1,0,64.0,m,no
3344,29,average,anything,2,0,71.0,m,no
3345,26,fit,anything,1,0,67.0,m,no
3346,29,average,vegetarian,2,1,69.0,m,no
3347,23,unknown,anything,1,0,69.0,m,no
3348,28,fit,anything,1,0,74.0,m,no
3349,20,fit,anything,1,0,72.0,m,no
3350,27,average,anything,1,0,68.0,m,no
3351,27,average,anything,1,0,72.0,m,no
3352,29,fit,vegetarian,1,0,70.0,m,no
3353,27,fit,anything,2,0,70.0,m,no
3354,19,average,anything,2,0,70.0,m,no
3355,28,average,anything,1,0,70.0,m,no
3356,24,average,vegetarian,2,1,71.0,m,no
3357,33,fit,vegetarian,1,0,72.0,m,no
3358,22,fit,anything,1,0,70.0,m,yes
3359,23,average,anything,2,0,68.0,m,no
3360,26,average,anything,1,1,71.0,m,no
3361,32,average,anything,1,0,68.0,m,no
3362,23,average,anything,1,0,72.0,m,yes
3363,27,fit,anything,1,0,66.0,m,no
3364,30,fit,anything,0,0,76.0,m,no
3365,31,average,anything,1,1,68.0,m,no
3366,25,fit,anything,1,0,69.0,m,no
3367,31,larger,anything,1,0,71.0,m,no
3368,26,unknown,anything,1,0,73.0,m,no
3369,26,unknown,anything,1,0,75.0,m,no
3370,22,fit,anything,1,0,77.0,m,no
3371,23,average,anything,1,0,69.0,f,no
3372,29,fit,anything,1,0,71.0,m,no
3373,31,average,other,1,1,67.0,f,no
3374,21,average,other,1,2,75.0,m,yes
3375,57,fit,anything,1,0,69.0,m,no
3376,23,fit,anything,1,0,69.0,m,yes
3377,29,unknown,vegan,1,1,70.0,m,no
3378,45,average,anything,1,0,66.0,f,no
3379,25,fit,vegetarian,1,0,72.0,m,no
3380,30,average,anything,1,0,67.0,f,no
3381,28,fit,anything,2,1,68.0,m,yes
3382,28,fit,anything,1,0,74.0,m,no
3383,57,fit,anything,1,0,64.0,f,no
3384,38,fit,anything,2,1,68.0,f,no
3385,22,unknown,anything,2,0,65.0,f,no
3386,25,fit,anything,0,0,72.0,m,no
3387,42,fit,anything,1,0,68.0,m,no
3388,25,average,anything,1,0,64.0,m,no
3389,39,average,anything,1,0,73.0,m,no
3390,62,fit,anything,1,0,70.0,m,no
3391,26,fit,anything,1,0,74.0,m,no
3392,30,average,anything,1,1,70.0,m,no
3393,24,average,vegetarian,1,0,70.0,m,yes
3394,25,unknown,anything,2,1,68.0,m,no
3395,28,fit,anything,1,0,70.0,m,no
3396,41,average,anything,1,0,73.0,m,no
3397,25,fit,anything,1,0,71.0,m,no
3398,30,fit,anything,2,0,70.0,m,no
3399,18,unknown,vegetarian,2,0,63.0,f,yes
3400,30,fit,anything,0,0,69.0,m,no
3401,40,fit,anything,1,0,73.0,m,no
3402,46,average,anything,1,0,69.0,m,no
3403,26,average,anything,1,0,71.0,m,yes
3404,29,fit,anything,1,1,70.0,m,no
3405,30,fit,anything,1,1,74.0,m,no
3406,21,average,anything,1,2,66.0,m,no
3407,23,fit,anything,1,0,73.0,m,no
3408,37,larger,anything,1,0,68.0,m,no
3409,25,unknown,anything,1,0,71.0,m,no
3410,31,average,anything,1,0,69.0,m,no
3411,27,fit,vegetarian,1,0,69.0,m,no
3412,30,larger,anything,1,0,75.0,m,no
3413,40,fit,anything,1,0,67.0,m,yes
3414,63,unknown,anything,1,1,73.0,m,no
3415,33,average,anything,1,0,66.0,m,no
3416,20,fit,anything,1,0,71.0,m,no
3417,31,average,anything,1,0,70.0,m,no
3418,61,fit,anything,1,0,70.0,m,no
3419,42,average,anything,1,0,71.0,m,yes
3420,52,fit,anything,1,0,69.0,m,no
3421,33,average,anything,2,0,74.0,m,no
3422,22,average,other,1,1,71.0,m,no
3423,43,average,anything,0,0,71.0,m,no
3424,40,fit,anything,1,0,70.0,m,no
3425,27,fit,anything,1,0,68.0,m,no
3426,31,fit,other,1,0,70.0,m,no
3427,27,fit,anything,1,0,72.0,m,no
3428,30,average,anything,1,1,64.0,m,yes
3429,31,fit,anything,1,0,70.0,m,no
3430,33,fit,anything,1,0,72.0,m,no
3431,31,average,anything,1,0,71.0,m,no
3432,27,unknown,anything,0,0,72.0,m,no
3433,26,average,vegetarian,1,0,61.0,f,no
3434,27,larger,anything,1,0,66.0,f,no
3435,40,average,anything,1,0,62.0,f,no
3436,24,fit,anything,1,1,65.0,m,no
3437,33,unknown,anything,1,1,65.0,f,no
3438,31,average,anything,2,1,70.0,m,no
3439,41,larger,anything,1,0,64.0,f,no
3440,28,fit,anything,1,0,74.0,m,no
3441,34,larger,anything,1,0,67.0,f,no
3442,33,average,anything,1,0,66.0,m,no
3443,22,average,anything,1,1,68.0,f,yes
3444,55,average,anything,1,0,60.0,f,no
3445,32,average,anything,1,0,68.0,m,no
3446,25,average,anything,1,0,64.0,f,no
3447,24,larger,anything,1,0,62.0,f,no
3448,37,fit,vegetarian,1,1,63.0,f,no
3449,23,average,anything,1,0,74.0,m,no
3450,30,larger,anything,1,0,61.0,f,no
3451,32,fit,anything,1,0,66.0,f,no
3452,23,average,anything,1,0,66.0,f,no
3453,45,average,vegetarian,1,0,60.0,f,no
3454,24,average,anything,1,0,62.0,f,no
3455,25,average,anything,2,2,74.0,m,no
3456,41,fit,anything,1,0,73.0,m,no
3457,31,average,anything,1,0,66.0,f,no
3458,24,fit,vegetarian,1,0,70.0,m,no
3459,42,average,anything,1,0,67.0,f,no
3460,28,average,anything,1,0,62.0,f,no
3461,29,larger,anything,2,0,64.0,f,no
3462,38,fit,anything,1,0,64.0,f,no
3463,30,average,anything,1,0,66.0,f,no
3464,59,larger,anything,1,0,64.0,f,no
3465,26,larger,anything,1,0,67.0,f,no
3466,44,larger,anything,1,0,65.0,f,no
3467,36,unknown,anything,1,0,63.0,f,no
3468,32,larger,anything,1,0,63.0,f,no
3469,54,larger,anything,1,0,60.0,f,no
3470,27,larger,anything,1,0,62.0,f,no
3471,28,larger,anything,1,0,68.0,f,no
3472,23,average,anything,1,0,67.0,f,no
3473,42,average,vegetarian,1,0,69.0,f,no
3474,31,average,anything,1,0,60.0,f,no
